Date,Bonds Yield Close,Month end,30 years yahoo,Bond price,DJA,Effective FED rate
03/11/1897,3.39,0,0,104.1297935,41.94,
03/12/1897,3.39,0,0,104.1297935,42.05,
03/13/1897,3.39,0,0,104.1297935,42.29,
03/15/1897,3.39,0,0,104.1297935,42.08,
03/16/1897,3.39,0,0,104.1297935,41.93,
03/17/1897,3.39,0,0,104.1297935,41.5,
03/18/1897,3.39,0,0,104.1297935,41.6,
03/19/1897,3.39,0,0,104.1297935,41.12,
03/20/1897,3.39,0,0,104.1297935,41.25,
03/22/1897,3.39,0,0,104.1297935,41.39,
03/23/1897,3.39,0,0,104.1297935,40.86,
03/24/1897,3.39,0,0,104.1297935,40.6,
03/25/1897,3.39,0,0,104.1297935,40.58,
03/26/1897,3.39,0,0,104.1297935,40.07,
03/27/1897,3.39,0,0,104.1297935,39.52,
03/29/1897,3.39,0,0,104.1297935,39.13,
03/30/1897,3.39,0,0,104.1297935,39.86,
03/31/1897,3.39,0,0,104.1297935,39.47,
04/01/1897,3.39,1,0,104.1297935,39.77,
04/02/1897,3.389583333,0,0,104.1425937,39.81,
04/03/1897,3.389166667,0,0,104.1553971,39.89,
04/05/1897,3.38875,0,0,104.1682036,39.74,
04/06/1897,3.388333333,0,0,104.1810133,39.57,
04/07/1897,3.387916667,0,0,104.1938261,39.73,
04/08/1897,3.3875,0,0,104.2066421,40.37,
04/09/1897,3.387083333,0,0,104.2194612,40.21,
04/10/1897,3.386666667,0,0,104.2322835,40.29,
04/12/1897,3.38625,0,0,104.2451089,39.95,
04/13/1897,3.385833333,0,0,104.2579375,40.43,
04/14/1897,3.385416667,0,0,104.2707692,39.76,
04/15/1897,3.385,0,0,104.2836041,39.41,
04/17/1897,3.384583333,0,0,104.2964422,39.07,
04/19/1897,3.384166667,0,0,104.3092834,38.49,
04/20/1897,3.38375,0,0,104.3221278,38.69,
04/21/1897,3.383333333,0,0,104.3349754,38.91,
04/22/1897,3.382916667,0,0,104.3478261,38.57,
04/23/1897,3.3825,0,0,104.36068,38.49,
04/24/1897,3.382083333,0,0,104.373537,38.54,
04/26/1897,3.381666667,0,0,104.3863972,39.22,
04/28/1897,3.38125,0,0,104.3992606,39.02,
04/29/1897,3.380833333,0,0,104.4121272,39.01,
04/30/1897,3.380416667,0,0,104.4249969,38.96,
05/01/1897,3.38,1,0,104.4378698,38.73,
05/03/1897,3.38,0,0,104.4378698,38.78,
05/04/1897,3.38,0,0,104.4378698,39.48,
05/05/1897,3.38,0,0,104.4378698,39.18,
05/06/1897,3.38,0,0,104.4378698,39.54,
05/07/1897,3.38,0,0,104.4378698,39.59,
05/08/1897,3.38,0,0,104.4378698,39.62,
05/10/1897,3.38,0,0,104.4378698,39.95,
05/11/1897,3.38,0,0,104.4378698,39.9,
05/12/1897,3.38,0,0,104.4378698,39.69,
05/13/1897,3.38,0,0,104.4378698,39.27,
05/14/1897,3.38,0,0,104.4378698,38.94,
05/15/1897,3.38,0,0,104.4378698,38.67,
05/17/1897,3.38,0,0,104.4378698,38.67,
05/18/1897,3.38,0,0,104.4378698,39.2,
05/19/1897,3.38,0,0,104.4378698,38.8,
05/20/1897,3.38,0,0,104.4378698,38.67,
05/21/1897,3.38,0,0,104.4378698,38.83,
05/22/1897,3.38,0,0,104.4378698,38.98,
05/24/1897,3.38,0,0,104.4378698,39.33,
05/25/1897,3.38,0,0,104.4378698,39.2,
05/26/1897,3.38,0,0,104.4378698,39.55,
05/27/1897,3.38,0,0,104.4378698,39.21,
05/28/1897,3.38,0,0,104.4378698,39.64,
05/29/1897,3.38,0,0,104.4378698,39.91,
06/01/1897,3.38,1,0,104.4378698,40.01,
06/02/1897,3.38,0,0,104.4378698,40.22,
06/03/1897,3.38,0,0,104.4378698,40.28,
06/04/1897,3.38,0,0,104.4378698,40.52,
06/05/1897,3.38,0,0,104.4378698,41.04,
06/07/1897,3.38,0,0,104.4378698,41.32,
06/08/1897,3.38,0,0,104.4378698,41.74,
06/09/1897,3.38,0,0,104.4378698,42.21,
06/10/1897,3.38,0,0,104.4378698,42.38,
06/11/1897,3.38,0,0,104.4378698,42.54,
06/12/1897,3.38,0,0,104.4378698,42.57,
06/14/1897,3.38,0,0,104.4378698,42.96,
06/15/1897,3.38,0,0,104.4378698,42.8,
06/16/1897,3.38,0,0,104.4378698,42.39,
06/17/1897,3.38,0,0,104.4378698,42.69,
06/18/1897,3.38,0,0,104.4378698,43.07,
06/19/1897,3.38,0,0,104.4378698,42.89,
06/21/1897,3.38,0,0,104.4378698,42.62,
06/22/1897,3.38,0,0,104.4378698,42.8,
06/23/1897,3.38,0,0,104.4378698,43.18,
06/24/1897,3.38,0,0,104.4378698,43.39,
06/25/1897,3.38,0,0,104.4378698,43.28,
06/26/1897,3.38,0,0,104.4378698,43.7,
06/28/1897,3.38,0,0,104.4378698,44.61,
06/29/1897,3.38,0,0,104.4378698,44.27,
06/30/1897,3.38,0,0,104.4378698,44.1,
07/01/1897,3.38,1,0,104.4378698,44.21,
07/02/1897,3.379615385,0,0,104.4497553,44.18,
07/03/1897,3.379230769,0,0,104.4616435,43.88,
07/06/1897,3.378846154,0,0,104.4735344,43.6,
07/07/1897,3.378461538,0,0,104.4854281,44.07,
07/08/1897,3.378076923,0,0,104.4973244,43.92,
07/09/1897,3.377692308,0,0,104.5092234,44.16,
07/10/1897,3.377307692,0,0,104.5211252,44.37,
07/12/1897,3.376923077,0,0,104.5330296,45.05,
07/13/1897,3.376538462,0,0,104.5449368,45.61,
07/14/1897,3.376153846,0,0,104.5568467,45.71,
07/15/1897,3.375769231,0,0,104.5687593,45.27,
07/16/1897,3.375384615,0,0,104.5806746,45.48,
07/17/1897,3.375,0,0,104.5925926,45.52,
07/19/1897,3.374615385,0,0,104.6045133,46.45,
07/20/1897,3.374230769,0,0,104.6164368,46.76,
07/21/1897,3.373846154,0,0,104.628363,46.95,
07/22/1897,3.373461538,0,0,104.6402919,47.73,
07/23/1897,3.373076923,0,0,104.6522235,47.88,
07/24/1897,3.372692308,0,0,104.6641578,47.92,
07/26/1897,3.372307692,0,0,104.6760949,47.71,
07/27/1897,3.371923077,0,0,104.6880347,47.11,
07/28/1897,3.371538462,0,0,104.6999772,47.86,
07/29/1897,3.371153846,0,0,104.7119224,47.7,
07/30/1897,3.370769231,0,0,104.7238704,47.95,
07/31/1897,3.370384615,0,0,104.7358211,47.88,
08/02/1897,3.37,1,0,104.7477745,48.84,
08/03/1897,3.37,0,0,104.7477745,50.1,
08/04/1897,3.37,0,0,104.7477745,50.74,
08/05/1897,3.37,0,0,104.7477745,51.25,
08/06/1897,3.37,0,0,104.7477745,51.72,
08/07/1897,3.37,0,0,104.7477745,51.8,
08/09/1897,3.37,0,0,104.7477745,51.32,
08/10/1897,3.37,0,0,104.7477745,51.73,
08/11/1897,3.37,0,0,104.7477745,51.8,
08/12/1897,3.37,0,0,104.7477745,51.97,
08/13/1897,3.37,0,0,104.7477745,51.5,
08/14/1897,3.37,0,0,104.7477745,51.97,
08/16/1897,3.37,0,0,104.7477745,52.19,
08/17/1897,3.37,0,0,104.7477745,51.55,
08/18/1897,3.37,0,0,104.7477745,51.79,
08/19/1897,3.37,0,0,104.7477745,51.8,
08/20/1897,3.37,0,0,104.7477745,51.65,
08/21/1897,3.37,0,0,104.7477745,51.84,
08/23/1897,3.37,0,0,104.7477745,52.39,
08/24/1897,3.37,0,0,104.7477745,52.53,
08/25/1897,3.37,0,0,104.7477745,52.13,
08/26/1897,3.37,0,0,104.7477745,52.56,
08/27/1897,3.37,0,0,104.7477745,52.92,
08/28/1897,3.37,0,0,104.7477745,53.1,
08/30/1897,3.37,0,0,104.7477745,53.23,
08/31/1897,3.37,0,0,104.7477745,54.81,
09/01/1897,3.37,1,0,104.7477745,55.44,
09/02/1897,3.3696,0,0,104.7602089,55.77,
09/03/1897,3.3692,0,0,104.7726463,55.64,
09/04/1897,3.3688,0,0,104.7850867,55.65,
09/07/1897,3.3684,0,0,104.79753,55.75,
09/08/1897,3.368,0,0,104.8099762,55.6,
09/09/1897,3.3676,0,0,104.8224255,55.81,
09/10/1897,3.3672,0,0,104.8348776,55.82,
09/11/1897,3.3668,0,0,104.8473328,55.71,
09/13/1897,3.3664,0,0,104.8597909,54.61,
09/14/1897,3.366,0,0,104.8722519,55.35,
09/15/1897,3.3656,0,0,104.8847159,55.62,
09/16/1897,3.3652,0,0,104.8971829,55.27,
09/17/1897,3.3648,0,0,104.9096529,55.46,
09/18/1897,3.3644,0,0,104.9221258,55.35,
09/20/1897,3.364,0,0,104.9346017,54.66,
09/21/1897,3.3636,0,0,104.9470805,52.53,
09/22/1897,3.3632,0,0,104.9595623,53.45,
09/23/1897,3.3628,0,0,104.9720471,53.6,
09/24/1897,3.3624,0,0,104.9845349,52.48,
09/25/1897,3.362,0,0,104.9970256,52.3,
09/27/1897,3.3616,0,0,105.0095193,52.93,
09/28/1897,3.3612,0,0,105.0220159,52.31,
09/29/1897,3.3608,0,0,105.0345156,51.9,
09/30/1897,3.3604,0,0,105.0470182,50.98,
10/01/1897,3.36,1,0,105.0595238,51.54,
10/02/1897,3.36,0,0,105.0595238,52.59,
10/04/1897,3.36,0,0,105.0595238,52.66,
10/05/1897,3.36,0,0,105.0595238,52.26,
10/06/1897,3.36,0,0,105.0595238,51.79,
10/07/1897,3.36,0,0,105.0595238,51.37,
10/08/1897,3.36,0,0,105.0595238,51.64,
10/09/1897,3.36,0,0,105.0595238,50.88,
10/11/1897,3.36,0,0,105.0595238,50.64,
10/12/1897,3.36,0,0,105.0595238,48.64,
10/13/1897,3.36,0,0,105.0595238,49.35,
10/14/1897,3.36,0,0,105.0595238,48.79,
10/15/1897,3.36,0,0,105.0595238,48.42,
10/16/1897,3.36,0,0,105.0595238,48.59,
10/18/1897,3.36,0,0,105.0595238,49.2,
10/19/1897,3.36,0,0,105.0595238,49.84,
10/20/1897,3.36,0,0,105.0595238,50.39,
10/21/1897,3.36,0,0,105.0595238,49.82,
10/22/1897,3.36,0,0,105.0595238,50,
10/23/1897,3.36,0,0,105.0595238,49.66,
10/25/1897,3.36,0,0,105.0595238,48.76,
10/26/1897,3.36,0,0,105.0595238,49.1,
10/27/1897,3.36,0,0,105.0595238,48.6,
10/28/1897,3.36,0,0,105.0595238,48.46,
10/29/1897,3.36,0,0,105.0595238,48.81,
10/30/1897,3.36,0,0,105.0595238,49.03,
11/01/1897,3.36,1,0,105.0595238,49.11,
11/03/1897,3.359583333,0,0,105.0725536,47.67,
11/04/1897,3.359166667,0,0,105.0855867,47.31,
11/05/1897,3.35875,0,0,105.098623,45.73,
11/06/1897,3.358333333,0,0,105.1116625,46.32,
11/08/1897,3.357916667,0,0,105.1247053,45.65,
11/09/1897,3.3575,0,0,105.1377513,46.53,
11/10/1897,3.357083333,0,0,105.1508005,47.12,
11/11/1897,3.356666667,0,0,105.163853,46.19,
11/12/1897,3.35625,0,0,105.1769088,46.44,
11/13/1897,3.355833333,0,0,105.1899677,47.12,
11/15/1897,3.355416667,0,0,105.2030299,46.47,
11/16/1897,3.355,0,0,105.2160954,47.05,
11/17/1897,3.354583333,0,0,105.2291641,46.83,
11/18/1897,3.354166667,0,0,105.242236,46.99,
11/19/1897,3.35375,0,0,105.2553112,47.27,
11/20/1897,3.353333333,0,0,105.2683897,47.23,
11/22/1897,3.352916667,0,0,105.2814714,46.89,
11/23/1897,3.3525,0,0,105.2945563,46.63,
11/24/1897,3.352083333,0,0,105.3076445,46.21,
11/26/1897,3.351666667,0,0,105.320736,46.7,
11/27/1897,3.35125,0,0,105.3338307,47.19,
11/29/1897,3.350833333,0,0,105.3469286,46.8,
11/30/1897,3.350416667,0,0,105.3600298,47.46,
12/01/1897,3.35,1,0,105.3731343,48.41,
12/02/1897,3.35,0,0,105.3731343,48.31,
12/03/1897,3.35,0,0,105.3731343,48.31,
12/04/1897,3.35,0,0,105.3731343,48.23,
12/06/1897,3.35,0,0,105.3731343,48.79,
12/07/1897,3.35,0,0,105.3731343,49.46,
12/08/1897,3.35,0,0,105.3731343,49.39,
12/09/1897,3.35,0,0,105.3731343,49.6,
12/10/1897,3.35,0,0,105.3731343,49.18,
12/11/1897,3.35,0,0,105.3731343,49.48,
12/13/1897,3.35,0,0,105.3731343,49.81,
12/14/1897,3.35,0,0,105.3731343,49.67,
12/15/1897,3.35,0,0,105.3731343,49.02,
12/16/1897,3.35,0,0,105.3731343,48.54,
12/17/1897,3.35,0,0,105.3731343,48.14,
12/18/1897,3.35,0,0,105.3731343,48.84,
12/20/1897,3.35,0,0,105.3731343,48.45,
12/21/1897,3.35,0,0,105.3731343,48.25,
12/22/1897,3.35,0,0,105.3731343,48.54,
12/23/1897,3.35,0,0,105.3731343,48.84,
12/24/1897,3.35,0,0,105.3731343,49.39,
12/27/1897,3.35,0,0,105.3731343,49.29,
12/28/1897,3.35,0,0,105.3731343,49.34,
12/29/1897,3.35,0,0,105.3731343,49.33,
12/30/1897,3.35,0,0,105.3731343,49.21,
12/31/1897,3.35,0,0,105.3731343,49.41,
01/03/1898,3.35,1,0,105.3731343,49.31,
01/04/1898,3.3492,0,0,105.3983041,48.91,
01/05/1898,3.3484,0,0,105.4234858,49.53,
01/06/1898,3.3476,0,0,105.4486797,50.18,
01/07/1898,3.3468,0,0,105.4738855,50.67,
01/08/1898,3.346,0,0,105.4991034,50.62,
01/10/1898,3.3452,0,0,105.5243334,50.53,
01/11/1898,3.3444,0,0,105.5495754,50.33,
01/12/1898,3.3436,0,0,105.5748295,50.19,
01/13/1898,3.3428,0,0,105.6000957,49.85,
01/14/1898,3.342,0,0,105.625374,49.63,
01/15/1898,3.3412,0,0,105.6506644,49.15,
01/17/1898,3.3404,0,0,105.675967,49.36,
01/18/1898,3.3396,0,0,105.7012816,48.81,
01/19/1898,3.3388,0,0,105.7266084,49.28,
01/20/1898,3.338,0,0,105.7519473,49.06,
01/21/1898,3.3372,0,0,105.7772983,48.92,
01/22/1898,3.3364,0,0,105.8026616,48.88,
01/24/1898,3.3356,0,0,105.8280369,48,
01/25/1898,3.3348,0,0,105.8534245,48.66,
01/26/1898,3.334,0,0,105.8788242,49.53,
01/27/1898,3.3332,0,0,105.9042362,49.78,
01/28/1898,3.3324,0,0,105.9296603,49.32,
01/29/1898,3.3316,0,0,105.9550967,49.56,
01/31/1898,3.3308,0,0,105.9805452,50.01,
02/01/1898,3.33,1,0,106.006006,49.76,
02/02/1898,3.329090909,0,0,106.0349536,49.54,
02/03/1898,3.328181818,0,0,106.063917,49.54,
02/04/1898,3.327272727,0,0,106.0928962,49.82,
02/05/1898,3.326363636,0,0,106.1218912,50.23,
02/07/1898,3.325454545,0,0,106.1509021,50.11,
