Date,Open,High,Low,Close,Volume,Dividend,SMA 200,Enter_200
2004-06-28,114.52,114.61,113.41,113.45,40824500,0.0,,0
2004-06-29,113.53,114.17,113.42,113.92,28418100,0.0,,0
2004-06-30,114.07,114.79,113.65,114.53,52230600,0.0,,0
2004-07-01,114.25,114.4,112.58,112.94,57734700,0.0,,0
2004-07-02,113.16,113.29,112.6,112.88,34615100,0.0,,0
2004-07-06,112.37,112.45,111.63,111.89,38698200,0.0,,0
2004-07-07,111.81,112.57,111.75,112.22,29839800,0.0,,0
2004-07-08,111.81,112.32,111.2,111.44,45291100,0.0,,0
2004-07-09,111.72,111.94,111.38,111.73,27412900,0.0,,0
2004-07-12,111.52,112.04,111.0,111.78,35691300,0.0,,0
2004-07-13,111.92,112.02,111.6,111.86,26752000,0.0,,0
2004-07-14,111.26,112.39,111.12,111.52,54089400,0.0,,0
2004-07-15,111.74,111.91,110.7,110.8,38403500,0.0,,0
2004-07-16,111.57,111.67,110.44,110.71,40871200,0.0,,0
2004-07-19,110.75,110.96,109.99,110.24,39592800,0.0,,0
2004-07-20,110.53,111.9,110.25,111.64,46679800,0.0,,0
2004-07-21,111.82,112.06,109.45,109.58,56241100,0.0,,0
2004-07-22,109.36,110.39,108.77,109.88,72477100,0.0,,0
2004-07-23,109.62,109.71,108.69,108.96,49610500,0.0,,0
2004-07-26,109.19,109.43,108.21,108.75,49679100,0.0,,0
2004-07-27,109.05,110.11,108.97,109.77,51295100,0.0,,0
2004-07-28,109.55,110.37,108.59,110.1,65862300,0.0,,0
2004-07-29,110.54,110.87,110.0,110.57,52200500,0.0,,0
2004-07-30,110.32,110.9,110.1,110.84,41581700,0.0,,0
2004-08-02,110.19,111.36,110.05,111.07,38263100,0.0,,0
2004-08-03,110.93,111.06,110.16,110.21,40948800,0.0,,0
2004-08-04,109.89,110.75,109.64,110.2,40763200,0.0,,0
2004-08-05,110.29,110.38,108.27,108.4,50772000,0.0,,0
2004-08-06,107.63,107.96,106.62,106.85,74729000,0.0,,0
2004-08-09,107.02,107.48,106.87,107.0,37476300,0.0,,0
2004-08-10,107.31,108.41,107.26,108.38,55870600,0.0,,0
2004-08-11,107.68,108.33,107.1,108.16,52933200,0.0,,0
2004-08-12,107.68,107.95,106.63,106.98,50015900,0.0,,0
2004-08-13,107.1,107.35,106.59,107.19,41634700,0.0,,0
2004-08-16,107.14,108.64,107.1,108.3,45731900,0.0,,0
2004-08-17,108.75,109.28,108.53,108.91,40701600,0.0,,0
2004-08-18,108.52,110.17,108.49,110.03,43165400,0.0,,0
2004-08-19,109.81,110.02,109.18,109.71,39881600,0.0,,0
2004-08-20,109.61,110.63,109.51,110.48,44870900,0.0,,0
2004-08-23,110.55,110.77,110.05,110.2,33745100,0.0,,0
2004-08-24,110.64,110.73,109.85,110.35,30453100,0.0,,0
2004-08-25,110.33,111.27,109.9,111.1,38551400,0.0,,0
2004-08-26,110.96,111.31,110.85,111.1,26629500,0.0,,0
2004-08-27,111.2,111.63,111.05,111.45,24902900,0.0,,0
2004-08-30,111.22,111.34,110.45,110.53,26726500,0.0,,0
2004-08-31,110.66,111.16,110.1,111.11,44125300,0.0,,0
2004-09-01,110.95,111.64,110.48,111.32,52778300,0.0,,0
2004-09-02,111.24,112.7,111.24,112.58,42736600,0.0,,0
2004-09-03,112.33,112.82,112.01,112.12,30480500,0.0,,0
2004-09-07,112.54,113.13,112.32,112.86,37338800,0.0,,0
2004-09-08,112.62,113.06,112.31,112.58,32963100,0.0,,0
2004-09-09,112.57,112.88,112.03,112.48,34314800,0.0,,0
2004-09-10,112.52,113.27,112.08,113.06,27900600,0.0,,0
2004-09-13,113.31,113.74,113.01,113.43,44398100,0.0,,0
2004-09-14,113.3,113.69,113.19,113.66,28048900,0.0,,0
2004-09-15,113.3,113.36,112.68,112.8,38295000,0.0,,0
2004-09-16,112.85,113.37,112.8,113.14,23911700,0.0,,0
2004-09-17,112.95,113.36,112.69,113.15,33683000,0.469,,0
2004-09-20,112.67,112.99,112.28,112.47,37149400,0.0,,0
2004-09-21,112.75,113.47,112.54,112.96,40920800,0.0,,0
2004-09-22,112.5,112.52,111.47,111.55,49042100,0.0,,0
2004-09-23,111.6,111.7,110.95,110.95,44068700,0.0,,0
2004-09-24,111.17,111.73,111.13,111.46,34981100,0.0,,0
2004-09-27,111.1,111.2,110.58,110.75,39355100,0.0,,0
2004-09-28,110.91,111.51,110.41,111.28,41662900,0.0,,0
2004-09-29,111.21,111.85,111.0,111.84,33325700,0.0,,0
2004-09-30,111.55,111.98,111.26,111.76,43536700,0.0,,0
2004-10-01,112.26,113.65,112.21,113.65,62824300,0.0,,0
2004-10-04,114.1,114.44,113.8,113.84,33082400,0.0,,0
2004-10-05,113.85,114.16,113.54,113.9,36910600,0.0,,0
2004-10-06,113.77,114.68,113.68,114.68,42297800,0.0,,0
2004-10-07,114.38,114.4,113.36,113.45,39388800,0.0,,0
2004-10-08,113.15,113.77,112.35,112.51,51872600,0.0,,0
2004-10-11,112.78,113.02,112.64,112.97,20229100,0.0,,0
2004-10-12,112.2,112.83,111.94,112.53,41754700,0.0,,0
2004-10-13,113.0,113.07,111.32,111.54,54212600,0.0,,0
2004-10-14,111.68,111.93,110.58,110.64,64082200,0.0,,0
2004-10-15,111.02,111.74,110.57,111.26,63482200,0.0,,0
2004-10-18,110.89,111.9,110.7,111.68,43535100,0.0,112.43424999999998,0
